          Mkt-RF     SMB     HML      RF
20140805   -0.84    0.77   -0.19   0.000
20140806    0.02    0.37    0.18   0.000
20140807   -0.52   -0.04   -0.14   0.000
20140808    1.12   -0.21   -0.18   0.000
20140811    0.40    0.59   -0.29   0.000
20140812   -0.23   -0.60    0.25   0.000
20140813    0.69   -0.08   -0.24   0.000
20140814    0.44   -0.24    0.04   0.000
20140815    0.00   -0.15   -0.15   0.000
20140818    0.93    0.60   -0.20   0.000
20140819    0.49   -0.13   -0.11   0.000
20140820    0.19   -0.64    0.27   0.000
20140821    0.28   -0.14    0.82   0.000
20140822   -0.10    0.30   -0.39   0.000
20140825    0.50   -0.24    0.04   0.000
20140826    0.19    0.70   -0.33   0.000
20140827    0.00   -0.23    0.15   0.000
20140828   -0.19   -0.42    0.09   0.000
20140829    0.39    0.27    0.09   0.000
20140902    0.06    0.46   -0.09   0.000
20140903   -0.14   -0.54    0.23   0.000
20140904   -0.17   -0.14   -0.15   0.000
20140905    0.45   -0.26   -0.06   0.000
20140908   -0.22    0.52   -0.44   0.000
20140909   -0.72   -0.43   -0.02   0.000
20140910    0.45    0.20   -0.39   0.000
20140911    0.19    0.49    0.20   0.000
20140912   -0.55   -0.23    0.14   0.000
20140915   -0.28   -1.06    0.66   0.000
20140916    0.70   -0.39   -0.13   0.000
20140917    0.17    0.08   -0.20   0.000
20140918    0.50    0.01    0.03   0.000
20140919   -0.18   -0.96    0.05   0.000
20140922   -0.97   -0.57    0.13   0.000
20140923   -0.62   -0.32   -0.05   0.000
20140924    0.81    0.08   -0.92   0.000
20140925   -1.62    0.08    0.15   0.000
20140926    0.85   -0.04   -0.28   0.000
20140929   -0.22    0.17   -0.44   0.000
20140930   -0.40   -1.00    0.14   0.000
20141001   -1.39   -0.15    0.33   0.000
20141002    0.15    1.02   -0.38   0.000
20141003    1.08   -0.39   -0.41   0.000
20141006   -0.26   -0.78    0.39   0.000
20141007   -1.56   -0.12    0.12   0.000
20141008    1.70    0.02   -0.06   0.000
20141009   -2.17   -0.42   -0.40   0.000
20141010   -1.30   -0.16    0.56   0.000
20141013   -1.59    1.32    0.50   0.000
20141014    0.28    0.85   -0.12   0.000
20141015   -0.53    1.80   -1.31   0.000
20141016    0.23    1.08    0.17   0.000
20141017    1.14   -1.56   -0.10   0.000
20141020    0.94    0.20   -0.33   0.000
20141021    1.98   -0.41    0.02   0.000
20141022   -0.85   -0.57    0.22   0.000
20141023    1.29    0.51   -0.47   0.000
20141024    0.66   -0.46   -0.11   0.000
20141027   -0.17    0.10   -0.26   0.000
20141028    1.37    1.58   -0.02   0.000
20141029   -0.18   -0.02    0.43   0.000
20141030    0.60    0.26   -0.47   0.000
20141031    1.23    0.29    0.19   0.000
20141103   -0.01   -0.26   -0.06   0.000
20141104   -0.35   -0.03   -0.11   0.000
20141105    0.48   -0.53    0.86   0.000
20141106    0.49    0.09   -0.48   0.000
20141107    0.09    0.01    0.44   0.000
20141110    0.33    0.19   -0.51   0.000
20141111    0.10    0.02   -0.29   0.000
20141112    0.07    0.77   -0.29   0.000
20141113   -0.03   -0.91   -0.33   0.000
20141114    0.06   -0.14    0.14   0.000
20141117   -0.05   -0.98    0.27   0.000
20141118    0.51    0.04   -0.36   0.000
20141119   -0.21   -0.93   -0.06   0.000
20141120    0.31    0.87   -0.02   0.000
20141121    0.48   -0.39   -0.08   0.000
20141124    0.40    0.94   -0.58   0.000
20141125   -0.08    0.06   -0.04   0.000
20141126    0.30    0.10   -0.46   0.000
20141128   -0.35   -0.93   -1.02   0.000
20141201   -0.90   -0.96    0.61   0.000
20141202    0.65    0.41    0.05   0.000
20141203    0.46    0.46    0.30   0.000
20141204   -0.17   -0.32    0.08   0.000
20141205    0.25    0.57    0.25   0.000
20141208   -0.82   -0.58    0.27   0.000
20141209    0.13    1.71   -0.29   0.000
20141210   -1.72   -0.61   -0.10   0.000
20141211    0.49   -0.08   -0.20   0.000
20141212   -1.55    0.48   -0.58   0.000
20141215   -0.68   -0.26    0.11   0.000
20141216   -0.80    0.63    0.59   0.000
20141217    2.15    0.85   -0.10   0.000
20141218    2.36   -0.88   -0.21   0.000
20141219    0.43   -0.22    0.19   0.000
20141222    0.37    0.19   -0.04   0.000
20141223    0.21   -0.26    1.05   0.000
20141224    0.07    0.36   -0.17   0.000
20141226    0.39    0.37   -0.32   0.000
20141229    0.13    0.16    0.56   0.000
20141230   -0.48    0.06    0.35   0.000
