Date,Open,High,Low,Close,Adj Close,Volume
1990-12-31,1.041667,1.062500,1.034722,1.053819,0.680290,173113600
1991-01-07,1.045139,1.097222,1.013889,1.083333,0.699342,465507200
1991-01-14,1.072917,1.197917,1.048611,1.184028,0.764345,548563200
1991-01-21,1.175347,1.263889,1.175347,1.243056,0.802451,518281600
1991-01-28,1.236111,1.402778,1.236111,1.385417,0.894351,655843200
1991-02-04,1.388889,1.513889,1.361111,1.444444,0.932456,491011200
1991-02-11,1.446181,1.467014,1.375000,1.434028,0.925732,593184000
1991-02-18,1.420139,1.451389,1.385417,1.420139,0.916766,292726400
1991-02-25,1.434028,1.475694,1.395833,1.468750,0.948147,364460800
1991-03-04,1.468750,1.569444,1.413194,1.423611,0.919008,524547200
1991-03-11,1.413194,1.423611,1.328125,1.342014,0.866333,601257600
1991-03-18,1.336806,1.402778,1.291667,1.302083,0.840556,456809600
1991-03-25,1.305556,1.517361,1.305556,1.473958,0.951509,272169600
1991-04-01,1.472222,1.621528,1.451389,1.527778,0.986252,429990400
1991-04-08,1.527778,1.572917,1.440972,1.489583,0.961596,406294400
1991-04-15,1.472222,1.631944,1.458333,1.489583,0.961596,483200000
1991-04-22,1.472222,1.475694,1.371528,1.399306,0.903317,479824000
1991-04-29,1.406250,1.423611,1.333333,1.406250,0.907800,387987200
1991-05-06,1.395833,1.486111,1.392361,1.427083,0.921249,281612800
1991-05-13,1.434028,1.440972,1.342014,1.378472,0.889868,353772800
1991-05-20,1.381944,1.562500,1.357639,1.527778,0.986252,373964800
1991-05-27,1.534722,1.555556,1.500000,1.524306,0.984011,251753600
1991-06-03,1.520833,1.586806,1.510417,1.531250,0.988493,208028800
1991-06-10,1.531250,1.579861,1.524306,1.576389,1.017633,206764800
1991-06-17,1.579861,1.593750,1.375000,1.420139,0.916766,488979200
1991-06-24,1.402778,1.432292,1.354167,1.419271,0.916206,391593600
1991-07-01,1.432292,1.505208,1.281250,1.286458,0.830469,386694400
1991-07-08,1.265625,1.432292,1.260417,1.416667,0.914524,339763200
1991-07-15,1.432292,1.463542,1.354167,1.411458,0.911163,170115200
1991-07-22,1.390625,1.494792,1.354167,1.479167,0.954871,364556800
1991-07-29,1.479167,1.557292,1.432292,1.526042,0.985131,461446400
1991-08-05,1.526042,1.708333,1.494792,1.682292,1.085998,357244800
1991-08-12,1.661458,1.744792,1.661458,1.703125,1.099447,315936000
1991-08-19,1.614583,1.802083,1.604167,1.776042,1.146518,302748800
1991-08-26,1.765625,1.807292,1.739583,1.776042,1.146518,169904000
1991-09-02,1.770833,1.770833,1.666667,1.682292,1.085998,181206400
1991-09-09,1.682292,1.786458,1.666667,1.729167,1.116258,267049600
1991-09-16,1.729167,1.817708,1.708333,1.802083,1.163329,153673600
1991-09-23,1.796875,1.875000,1.760417,1.838542,1.186864,204435200
1991-09-30,1.838542,1.885417,1.796875,1.835938,1.185183,175632000
1991-10-07,1.817708,1.901042,1.807292,1.867188,1.205356,237795200
1991-10-14,1.875000,1.921875,1.843750,1.875000,1.210400,342080000
1991-10-21,1.875000,1.932292,1.859375,1.864583,1.203676,152944000
1991-10-28,1.864583,1.984375,1.828125,1.929688,1.245703,215449600
1991-11-04,1.921875,2.015625,1.890625,1.984375,1.281007,176268800
1991-11-11,2.000000,2.119792,1.973958,1.979167,1.277645,294083200
1991-11-18,1.984375,2.036458,1.963542,2.000000,1.291094,254508800
1991-11-25,1.994792,2.036458,1.932292,2.026042,1.307905,128067200
1991-12-02,2.005208,2.192708,2.000000,2.171875,1.402046,233619200
1991-12-09,2.151042,2.161458,2.072917,2.125000,1.371787,206275200
1991-12-16,2.125000,2.187500,2.088542,2.151042,1.388598,161737600
1991-12-23,2.151042,2.322917,2.135417,2.299479,1.484421,131088000
1991-12-30,2.302083,2.390625,2.265625,2.354167,1.519725,188547200
1992-01-06,2.359375,2.687500,2.341146,2.609375,1.684473,371168000
1992-01-13,2.583333,2.776042,2.557292,2.635417,1.701285,305891200
1992-01-20,2.651042,2.695313,2.416667,2.596354,1.676068,348358400
1992-01-27,2.598958,2.619792,2.416667,2.505208,1.617229,330988800
1992-02-03,2.463542,2.687500,2.447917,2.619792,1.691198,308771200
1992-02-10,2.617188,2.640625,2.458333,2.468750,1.593693,345776000
1992-02-17,2.484375,2.546875,2.364583,2.385417,1.539899,384505600
1992-02-24,2.385417,2.635417,2.354167,2.572917,1.660938,354960000
1992-03-02,2.578125,2.619792,2.432292,2.463542,1.590331,213251200
1992-03-09,2.473958,2.567708,2.463542,2.520833,1.627316,202224000
1992-03-16,2.520833,2.713542,2.510417,2.677083,1.728182,366182400
1992-03-23,2.677083,2.705729,2.489583,2.526042,1.630677,295184000
1992-03-30,2.531250,2.541667,2.432292,2.447917,1.580245,318067200
1992-04-06,2.453125,2.552083,2.359375,2.416667,1.560071,414720000
1992-04-13,2.432292,2.692708,2.380208,2.658854,1.716415,408057600
1992-04-20,2.593750,2.604167,2.333333,2.338542,1.509638,592880000
1992-04-27,2.343750,2.427083,2.229167,2.369792,1.529811,594720000
1992-05-04,2.364583,2.447917,2.343750,2.385417,1.539899,283580800
1992-05-11,2.390625,2.401042,2.276042,2.291667,1.479378,268454400
1992-05-18,2.307292,2.437500,2.302083,2.411458,1.556709,233100800
1992-05-25,2.416667,2.546875,2.385417,2.520833,1.627316,222000000
1992-06-01,2.510417,2.593750,2.500000,2.520833,1.627316,221993600
1992-06-08,2.515625,2.520833,2.239583,2.343750,1.513000,459049600
1992-06-15,2.343750,2.437500,2.218750,2.296875,1.482739,278816000
1992-06-22,2.289063,2.367188,2.054688,2.085938,1.346570,451920000
1992-06-29,2.140625,2.281250,2.132813,2.183594,1.409612,290710400
1992-07-06,2.187500,2.210938,2.046875,2.171875,1.402046,274118400
1992-07-13,2.179688,2.289063,2.140625,2.195313,1.417177,258560000
1992-07-20,2.171875,2.304688,2.140625,2.273438,1.467610,298323200
1992-07-27,2.273438,2.335938,2.250000,2.273438,1.467610,288496000
1992-08-03,2.273438,2.328125,2.195313,2.210938,1.427264,181811200
