Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,75.269997,77.290001,75.180000,77.129997,64.956055,2993900
2014-01-02,77.169998,77.320000,76.360001,76.449997,64.383385,2846700
2014-01-03,76.360001,76.989998,76.150002,76.290001,64.248619,1958200
2014-01-06,76.510002,77.489998,76.400002,77.010002,64.854988,2815600
2014-01-07,77.070000,77.830002,76.669998,77.019997,64.863426,4005700
2014-01-08,77.250000,77.410004,76.150002,76.870003,64.737091,4492200
2014-01-09,77.010002,78.250000,76.879997,78.129997,65.798210,4187400
2014-01-10,78.389999,79.000000,77.239998,78.000000,65.688736,3019900
2014-01-13,78.199997,78.199997,75.489998,75.809998,63.844383,3046300
2014-01-14,76.150002,76.709999,75.800003,76.489998,64.417061,3359100
2014-01-15,76.500000,76.529999,74.750000,75.540001,63.616997,3697800
2014-01-16,75.309998,75.730003,74.669998,75.389999,63.490665,3231900
2014-01-17,74.870003,76.620003,74.849998,76.019997,64.021255,3901600
2014-01-21,76.029999,77.400002,76.029999,76.900002,64.762352,2792000
2014-01-22,77.300003,77.599998,76.089996,77.099998,64.930786,2748300
2014-01-23,77.519997,78.099998,76.040001,77.199997,65.014999,4105600
2014-01-24,76.220001,76.349998,73.599998,74.440002,62.690639,4712700
2014-01-27,74.570000,75.699997,73.779999,74.900002,63.078033,3408300
2014-01-28,73.919998,75.459999,73.919998,75.080002,63.229607,2792000
2014-01-29,74.029999,76.900002,70.809998,74.180000,62.471661,5942000
2014-01-30,74.440002,74.970001,73.370003,73.559998,61.949516,4595300
2014-01-31,73.099998,74.580002,72.750000,73.089996,61.553715,5799800
2014-02-03,73.120003,73.580002,71.139999,71.360001,60.096764,5620300
2014-02-04,71.510002,71.750000,68.779999,71.139999,59.911495,4647500
2014-02-05,70.750000,71.550003,69.110001,70.669998,59.515686,6071000
2014-02-06,71.300003,73.620003,70.889999,73.300003,61.730568,5388900
2014-02-07,73.699997,74.430000,72.910004,74.279999,62.555878,3310400
2014-02-10,74.349998,74.690002,72.029999,72.269997,60.863113,3743600
2014-02-11,72.300003,74.260002,72.239998,74.089996,62.395866,3711500
2014-02-12,74.169998,74.599998,73.360001,73.639999,62.016899,3045200
2014-02-13,72.750000,74.919998,72.629997,74.650002,63.202206,3234400
2014-02-14,74.470001,75.980003,74.260002,75.930000,64.285927,2408700
2014-02-18,76.209999,76.989998,75.269997,75.379997,63.820267,2813700
2014-02-19,75.220001,76.949997,75.019997,75.269997,63.727119,3700300
2014-02-20,75.019997,75.760002,74.750000,75.290001,63.744053,3164800
2014-02-21,75.080002,75.690002,74.809998,74.949997,63.456203,3210500
2014-02-24,75.010002,77.769997,75.010002,76.250000,64.556847,3631400
2014-02-25,76.230003,78.309998,75.900002,77.529999,65.640533,4201700
2014-02-26,77.440002,77.930000,76.449997,76.760002,64.988640,3384100
2014-02-27,76.480003,76.800003,74.330002,74.739998,63.278397,5635900
2014-02-28,74.779999,78.889999,74.379997,74.860001,63.379990,4209000
2014-03-03,74.650002,75.769997,74.370003,74.860001,63.379990,2672200
2014-03-04,75.550003,76.199997,74.900002,76.080002,64.412895,2380300
2014-03-05,75.800003,76.930000,75.449997,76.809998,65.030975,2815300
2014-03-06,76.980003,78.790001,76.949997,78.139999,66.157013,3699300
2014-03-07,78.500000,78.779999,77.349998,78.080002,66.106209,2243500
2014-03-10,78.000000,79.199997,77.820000,78.660004,66.597267,2371900
2014-03-11,78.629997,79.379997,78.010002,79.080002,66.952850,3068100
2014-03-12,79.089996,80.290001,79.059998,80.000000,67.731766,3437700
2014-03-13,80.070000,80.389999,77.720001,78.139999,66.157013,3439100
2014-03-14,78.029999,79.410004,78.000000,78.690002,66.622673,2751000
2014-03-17,78.860001,79.720001,78.739998,79.349998,67.181435,2640700
2014-03-18,79.320000,80.360001,78.910004,80.349998,68.028084,3002000
2014-03-19,80.239998,80.250000,77.919998,78.430000,66.402527,2894800
2014-03-20,78.070000,78.959999,77.529999,78.500000,66.461800,3108200
2014-03-21,80.120003,80.120003,77.820000,77.949997,65.996140,4624400
2014-03-24,78.370003,78.699997,77.019997,77.419998,65.547409,3287000
2014-03-25,77.239998,78.739998,77.239998,78.199997,66.207809,3040600
2014-03-26,78.470001,78.800003,76.919998,77.209999,65.369614,2657000
2014-03-27,77.290001,77.669998,76.730003,76.860001,65.073280,3430600
2014-03-28,77.000000,77.400002,76.510002,76.650002,64.895493,3014100
2014-03-31,77.300003,77.559998,76.870003,77.059998,65.242638,3071500
2014-04-01,77.220001,79.639999,76.930000,79.580002,67.376175,4031200
2014-04-02,79.169998,79.500000,77.889999,79.239998,67.088303,3083000
2014-04-03,79.669998,80.910004,79.669998,80.599998,68.239769,3319400
2014-04-04,81.010002,81.430000,79.150002,79.570000,67.367699,3315400
2014-04-07,79.099998,79.949997,77.879997,77.949997,65.996140,3224400
2014-04-08,78.059998,78.669998,77.010002,77.559998,65.665932,3338900
2014-04-09,78.029999,78.709999,77.230003,78.330002,66.317863,2515700
2014-04-10,78.269997,79.379997,76.669998,76.690002,64.929352,3875400
2014-04-11,76.629997,78.059998,76.180000,76.750000,64.980156,5550200
2014-04-14,77.110001,78.029999,76.639999,78.010002,66.046936,2673900
2014-04-15,77.760002,78.709999,76.739998,78.680000,66.614189,3647700
2014-04-16,79.419998,81.150002,78.629997,81.110001,68.671547,3800900
2014-04-17,80.669998,81.349998,80.000000,80.279999,67.968811,4512100
2014-04-21,80.360001,82.150002,80.190002,81.820000,69.272652,2938800
2014-04-22,81.330002,82.470001,80.730003,81.980003,69.408142,2987200
2014-04-23,81.849998,82.949997,81.500000,82.300003,69.679054,2077200
2014-04-24,82.599998,83.050003,81.760002,82.570000,69.907654,2592200
2014-04-25,82.529999,83.099998,82.029999,82.589996,69.924591,2544900
2014-04-28,82.889999,84.400002,81.870003,84.050003,71.160667,3864300
2014-04-29,84.529999,84.849998,83.339996,83.750000,70.906693,2732500
2014-04-30,83.910004,84.500000,83.110001,83.220001,70.457962,2860200
2014-05-01,83.269997,84.669998,83.089996,84.050003,71.160667,2602300
2014-05-02,83.989998,84.550003,83.430000,83.529999,70.720436,2095700
2014-05-05,83.139999,83.989998,82.650002,83.930000,71.059090,2101300
2014-05-06,84.129997,85.419998,83.660004,84.260002,71.338478,2669000
2014-05-07,84.669998,85.250000,83.470001,85.029999,71.990395,2584100
2014-05-08,84.209999,84.750000,82.489998,82.919998,70.203979,3057500
2014-05-09,82.720001,83.190002,80.820000,81.910004,69.348862,3687700
2014-05-12,82.639999,84.080002,82.559998,83.540001,70.728897,3181100
2014-05-13,83.779999,84.739998,83.470001,84.260002,71.338478,2566700
2014-05-14,84.059998,84.680000,82.959999,83.559998,70.745811,3143600
2014-05-15,83.010002,83.010002,81.290001,82.010002,69.851501,11581500
2014-05-16,81.849998,82.370003,81.230003,81.860001,69.723740,2305200
2014-05-19,81.989998,83.099998,81.860001,82.730003,70.464767,2907900
2014-05-20,82.449997,83.239998,81.860001,81.970001,69.817429,2316600
2014-05-21,82.239998,82.620003,80.900002,81.589996,69.493774,6323700
2014-05-22,81.690002,82.860001,81.589996,82.379997,70.166649,2433300
2014-05-23,82.349998,82.709999,82.029999,82.029999,69.868523,2540600
2014-05-27,82.260002,82.410004,81.459999,82.180000,69.996315,3004300
2014-05-28,82.050003,83.449997,82.040001,82.989998,70.686211,3488700
2014-05-29,83.239998,84.410004,82.820000,84.320000,71.819023,2451600
2014-05-30,84.360001,85.120003,84.169998,84.790001,72.219345,4139400
2014-06-02,84.989998,85.449997,84.410004,85.239998,72.602631,2520000
2014-06-03,84.889999,85.180000,84.379997,84.540001,72.006416,2335700
2014-06-04,84.059998,84.660004,83.550003,83.699997,71.290939,2449600
2014-06-05,84.070000,84.639999,83.419998,83.519997,71.137619,3736300
2014-06-06,83.949997,84.599998,83.550003,84.360001,71.853111,2492800
2014-06-09,84.180000,84.510002,83.339996,83.730003,71.316498,2308600
2014-06-10,83.599998,83.900002,82.440002,82.830002,70.549942,2394900
2014-06-11,82.360001,83.160004,82.190002,82.889999,70.601028,2355300
2014-06-12,83.370003,83.709999,82.430000,82.800003,70.524384,2879000
2014-06-13,82.800003,83.570000,82.400002,83.489998,71.112068,4330000
2014-06-16,83.519997,83.650002,82.940002,83.440002,71.069489,2279700
2014-06-17,83.010002,84.099998,82.500000,84.070000,71.606094,2965900
2014-06-18,83.879997,84.550003,82.930000,84.500000,71.972328,2617000
2014-06-19,84.709999,85.540001,84.620003,85.260002,72.619659,2950200
2014-06-20,85.589996,86.279999,85.250000,85.940002,73.198853,7281900
2014-06-23,86.250000,86.820000,85.919998,86.330002,73.531052,2316700
2014-06-24,86.019997,87.050003,84.669998,84.940002,72.347122,2801900
2014-06-25,80.949997,82.660004,79.160004,81.360001,69.297859,10144700
2014-06-26,81.919998,82.459999,81.089996,82.099998,69.928169,5304200
2014-06-27,81.680000,82.070000,81.019997,81.489998,69.408585,5490200
2014-06-30,81.059998,81.190002,80.050003,80.430000,68.505753,3392600
2014-07-01,80.599998,80.830002,79.940002,80.599998,68.650574,3127100
2014-07-02,80.639999,81.510002,80.599998,81.000000,68.991234,2437000
2014-07-03,81.199997,81.949997,81.000000,81.500000,69.417114,1712300
2014-07-07,81.330002,81.440002,79.940002,80.500000,68.565369,2226500
2014-07-08,80.309998,80.529999,79.029999,79.279999,67.526237,3010600
2014-07-09,79.660004,80.190002,78.529999,79.809998,67.977646,3278400
2014-07-10,78.720001,80.089996,78.690002,79.730003,67.909546,2722600
2014-07-11,79.550003,80.550003,79.510002,80.290001,68.386497,2235200
2014-07-14,80.879997,80.900002,79.629997,79.949997,68.096916,8384700
2014-07-15,79.739998,81.500000,79.419998,81.120003,69.093452,8653600
2014-07-16,81.209999,81.870003,80.410004,80.839996,68.854973,2888000
2014-07-17,80.400002,80.980003,79.400002,79.540001,67.747688,2370200
2014-07-18,79.910004,81.040001,79.449997,80.860001,68.871986,3127200
2014-07-21,80.400002,80.800003,80.000000,80.160004,68.275780,2102800
2014-07-22,80.739998,81.150002,80.239998,80.500000,68.565369,2733900
2014-07-23,80.550003,81.730003,80.449997,81.269997,69.221199,2118400
2014-07-24,81.730003,82.830002,81.300003,82.099998,69.928169,3517400
2014-07-25,82.139999,82.870003,81.830002,82.650002,70.396614,2064000
2014-07-28,83.000000,83.000000,81.660004,82.610001,70.362549,2359500
2014-07-29,82.919998,83.250000,82.470001,82.470001,70.243309,3163300
2014-07-30,82.190002,83.410004,81.309998,81.720001,69.604477,2664700
2014-07-31,81.139999,82.510002,80.559998,81.110001,69.084938,3120000
2014-08-01,80.620003,81.010002,79.250000,80.540001,68.599434,4488000
2014-08-04,80.809998,82.040001,80.239998,81.879997,69.740776,2934400
2014-08-05,81.440002,81.650002,80.580002,81.010002,68.999741,2735500
2014-08-06,80.750000,82.900002,80.750000,82.279999,70.081459,2730200
2014-08-07,82.500000,83.029999,81.169998,81.519997,69.434174,2532100
2014-08-08,82.000000,83.169998,81.309998,83.050003,70.737335,2290400
2014-08-11,83.510002,83.849998,82.300003,82.389999,70.175156,2293700
2014-08-12,82.580002,82.930000,82.139999,82.559998,70.319954,2113300
2014-08-13,82.559998,82.879997,81.970001,82.779999,70.936935,2411200
2014-08-14,82.949997,83.910004,82.550003,83.690002,71.716751,2849900
2014-08-15,83.849998,84.370003,83.500000,83.790001,71.802460,4763500
2014-08-18,84.269997,86.080002,84.269997,85.610001,73.362083,3347700
2014-08-19,85.610001,86.400002,85.339996,86.089996,73.773399,2676900
2014-08-20,85.989998,86.790001,85.650002,86.599998,74.210434,2128300
2014-08-21,86.699997,86.720001,86.010002,86.239998,73.901917,1767600
2014-08-22,86.050003,86.279999,85.470001,86.089996,73.773399,1633900
2014-08-25,86.379997,87.099998,86.120003,86.900002,74.467522,1903500
2014-08-26,86.870003,87.099998,86.260002,86.669998,74.270424,1869300
2014-08-27,86.699997,87.000000,86.029999,86.440002,74.073318,1824500
2014-08-28,86.029999,86.919998,85.820000,86.610001,74.219009,1188200
2014-08-29,86.580002,87.150002,86.449997,87.019997,74.570351,2150300
2014-09-02,86.910004,87.199997,86.019997,86.949997,74.510361,2376000
2014-09-03,87.199997,87.980003,86.800003,87.239998,74.758873,2881000
2014-09-04,87.220001,87.870003,86.540001,86.879997,74.450371,3332000
2014-09-05,86.940002,87.660004,86.059998,87.510002,74.990250,2236800
2014-09-08,87.449997,87.599998,87.019997,87.059998,74.604622,2060200
2014-09-09,87.000000,87.540001,85.949997,86.470001,74.099045,2486700
2014-09-10,86.129997,86.410004,83.900002,85.139999,72.959305,4590100
2014-09-11,84.580002,85.110001,83.570000,84.010002,71.990974,3313500
2014-09-12,83.879997,84.239998,82.550003,83.019997,71.142616,2782700
2014-09-15,83.040001,84.019997,82.690002,83.900002,71.896729,2412600
2014-09-16,83.779999,86.680000,83.500000,85.779999,73.507759,5220300
2014-09-17,85.940002,86.379997,85.290001,85.690002,73.430626,4135200
2014-09-18,85.709999,86.389999,85.370003,85.889999,73.602028,3497400
2014-09-19,86.040001,86.379997,85.580002,85.750000,73.482025,3614200
2014-09-22,85.500000,85.529999,83.690002,83.839996,71.845306,2576400
2014-09-23,83.849998,84.849998,83.139999,83.260002,71.348274,2168700
2014-09-24,82.949997,83.339996,81.610001,82.690002,70.859833,2514100
2014-09-25,82.830002,82.830002,81.739998,81.739998,70.045738,2420500
2014-09-26,81.599998,82.519997,81.599998,82.230003,70.465630,3274500
2014-09-29,81.370003,82.300003,81.080002,81.769997,70.071442,2073500
2014-09-30,81.500000,81.879997,80.680000,81.309998,69.677261,5197200
2014-10-01,81.309998,82.000000,79.559998,79.629997,68.237610,4192300
2014-10-02,79.180000,79.389999,75.940002,77.760002,66.635155,8948800
2014-10-03,78.230003,78.279999,77.040001,77.639999,66.532326,4846200
2014-10-06,77.699997,78.120003,76.699997,77.349998,66.283806,2580100
2014-10-07,77.589996,78.800003,77.150002,77.349998,66.283806,3654200
2014-10-08,77.830002,79.209999,76.519997,79.160004,67.834862,4384500
2014-10-09,78.970001,79.370003,76.559998,76.610001,65.649681,3570400
2014-10-10,76.750000,77.730003,74.809998,76.320000,65.401146,4702000
2014-10-13,75.980003,77.139999,72.849998,73.050003,62.598999,5176000
2014-10-14,73.519997,74.160004,70.110001,70.589996,60.490936,9368900
2014-10-15,69.820000,70.860001,66.239998,67.889999,58.177219,11400000
2014-10-16,67.459999,70.519997,66.120003,69.709999,59.736828,8930400
2014-10-17,70.690002,73.150002,70.190002,72.209999,61.879154,8218500
2014-10-20,71.760002,72.900002,71.660004,72.349998,61.999123,3495500
2014-10-21,74.349998,77.080002,72.930000,76.809998,65.821060,6745200
2014-10-22,76.750000,77.550003,75.349998,75.389999,64.604210,5186800
2014-10-23,76.419998,77.070000,75.959999,76.120003,65.229774,3218500
2014-10-24,76.150002,76.570000,74.849998,76.489998,65.546844,2924800
2014-10-27,75.650002,76.110001,74.529999,75.480003,64.681335,4295500
2014-10-28,75.849998,77.720001,75.169998,77.529999,66.438034,7580200
2014-10-29,78.559998,78.970001,75.610001,76.389999,65.461128,4319500
2014-10-30,76.349998,77.570000,75.629997,77.400002,66.326645,3747000
2014-10-31,77.699997,78.760002,76.650002,78.500000,67.269272,3848500
2014-11-03,78.459999,78.849998,76.379997,76.680000,65.709648,5523700
2014-11-04,76.019997,76.440002,73.480003,74.489998,63.832981,6013000
2014-11-05,74.900002,76.370003,73.680000,74.739998,64.047195,5429500
2014-11-06,75.180000,75.639999,74.320000,75.419998,64.629898,4054400
2014-11-07,75.300003,75.589996,74.279999,74.699997,64.012939,5464000
2014-11-10,75.000000,75.599998,74.379997,74.500000,63.841534,3332200
2014-11-11,74.889999,75.150002,73.230003,73.639999,63.104580,3976000
2014-11-12,72.970001,74.209999,72.849998,73.040001,63.018299,3703800
2014-11-13,72.629997,72.720001,70.220001,70.830002,61.111526,5418400
2014-11-14,70.940002,71.839996,70.800003,71.779999,61.931171,7638900
2014-11-17,71.790001,73.120003,71.790001,72.779999,62.793961,4327600
2014-11-18,73.150002,74.540001,72.820000,73.959999,63.812061,4730000
2014-11-19,74.139999,76.080002,73.790001,75.769997,65.373711,4721100
2014-11-20,75.519997,77.989998,75.500000,77.830002,67.151077,4789900
