sep=;
Date;High price;Low price;Closing price;All trades average price;Total volume;Turnover;Duration;Yield;Yield calculation price;Nasdaq CPH Consolidated reference price;Nasdaq CPH consolidated volume;Nasdaq CPH consolidated turnover;
2019-06-27;;;;;;;4.252;-0.666;109.680;;;;
2019-06-28;;;;;;;4.252;-0.666;109.680;;;;
2019-07-01;109.800;109.780;109.800;;850000;;4.233;-0.700;109.799;109.799;850000.000;933290.000;
2019-07-02;;;;;;;4.233;-0.700;109.799;;;;
2019-07-03;;;;;;;4.233;-0.700;109.799;;;;
2019-07-04;;;;;;;4.233;-0.700;109.799;;;;
2019-07-05;;;;;;;4.233;-0.700;109.799;;;;
2019-07-08;;;;;;;4.233;-0.700;109.799;;;;
2019-07-09;;;;;;;4.233;-0.700;109.799;;;;
2019-07-10;109.630;109.580;109.620;;815000;;4.208;-0.669;109.599;109.599;815000.000;893229.500;
2019-07-11;;;;;;;4.208;-0.669;109.599;;;;
2019-07-12;109.580;109.454;109.454;;3000000;;4.197;-0.645;109.458;109.458;3000000.000;3283746.000;
2019-07-15;109.610;109.600;109.610;;50000;;4.195;-0.677;109.605;109.605;50000.000;54802.500;
2019-07-16;;;;;;;4.195;-0.677;109.605;;;;
2019-07-17;;;;;;;4.195;-0.677;109.605;;;;
2019-07-18;;;;;;;4.195;-0.677;109.605;;;;
2019-07-19;;;;;;;4.195;-0.677;109.605;;;;
2019-07-22;109.730;109.730;109.730;;50000000;;4.176;-0.713;109.730;109.730;50000000.000;54865000.000;
2019-07-23;;;;;;;4.176;-0.713;109.730;;;;
2019-07-24;109.785;109.785;109.785;;300000;;4.170;-0.728;109.785;109.785;300000.000;329355.000;
2019-07-25;109.980;109.850;109.850;;925000;;4.162;-0.767;109.946;109.946;925000.000;1017002.500;
2019-07-26;;;;;;;4.162;-0.767;109.946;;;;
2019-07-29;;;;;;;4.162;-0.767;109.946;;;;
2019-07-30;;;;;;;4.162;-0.767;109.946;;;;
2019-07-31;109.798;109.798;109.798;;100000;;4.151;-0.740;109.798;109.798;100000.000;109798.000;
2019-08-01;109.680;109.680;109.680;;50000000;;4.143;-0.719;109.680;109.680;50000000.000;54840000.000;
2019-08-02;;;;;;;4.143;-0.719;109.680;;;;
2019-08-05;;;;;;;4.143;-0.719;109.680;;;;
2019-08-06;109.970;109.970;109.970;;76368;;4.135;-0.786;109.970;109.970;76368.000;83981.890;
2019-08-07;110.230;110.140;110.230;;42000000;;4.132;-0.842;110.226;110.226;42000000.000;46294800.000;
2019-08-08;;;;;;;4.132;-0.842;110.226;;;;
2019-08-09;;;;;;;4.132;-0.842;110.226;;;;
2019-08-12;;;;;;;4.132;-0.842;110.226;;;;
2019-08-13;;;;;;;4.132;-0.842;110.226;;;;
2019-08-14;110.260;110.260;110.260;;100000000;;4.113;-0.860;110.260;110.260;100000000.000;110260000.000;
2019-08-15;;;;;;;4.113;-0.860;110.260;;;;
2019-08-16;;;;;;;4.113;-0.860;110.260;;;;
2019-08-19;;;;;;;4.113;-0.860;110.260;;;;
2019-08-20;;;;;;;4.113;-0.860;110.260;;;;
2019-08-21;;;;;;;4.113;-0.860;110.260;;;;
2019-08-22;;;;;;;4.113;-0.860;110.260;;;;
2019-08-23;;;;;;;4.113;-0.860;110.260;;;;
2019-08-26;110.320;110.320;110.320;;500000;;4.080;-0.891;110.320;110.320;500000.000;551600.000;
2019-08-27;;;;;;;4.080;-0.891;110.320;;;;
2019-08-28;110.320;110.320;110.320;;10000000;;4.075;-0.894;110.320;110.320;10000000.000;11032000.000;
2019-08-29;;;;;;;4.075;-0.894;110.320;;;;
2019-08-30;;;;;;;4.075;-0.894;110.320;;;;
2019-09-02;110.410;110.410;110.410;;28800000;;4.061;-0.921;110.410;110.410;28800000.000;31798080.000;
2019-09-03;;;;;;;4.061;-0.921;110.410;;;;
2019-09-04;;;;;;;4.061;-0.921;110.410;;;;
2019-09-05;;;;;;;4.061;-0.921;110.410;;;;
2019-09-06;;;;;;;4.061;-0.921;110.410;;;;
2019-09-09;;;;;;;4.061;-0.921;110.410;;;;
2019-09-10;;;;;;;4.061;-0.921;110.410;;;
