sep=;
Date;High price;Low price;Closing price;All trades average price;Total volume;Turnover;Duration;Yield;Yield calculation price;Nasdaq CPH Consolidated reference price;Nasdaq CPH consolidated volume;Nasdaq CPH consolidated turnover;
2018-07-16;108.930;108.930;108.930;;;;5.124;-0.167;108.930;108.930;55000000.000;59911500.000;
2018-07-17;108.878;108.878;108.878;;;;5.121;-0.159;108.878;108.878;1000000.000;1088780.000;
2018-07-18;;;;;;;5.121;-0.159;108.878;;;;
2018-07-19;;;;;;;5.121;-0.159;108.878;;;;
2018-07-20;;;;;;;5.121;-0.159;108.878;;;;
2018-07-23;108.820;108.750;108.820;;;;5.104;-0.141;108.750;108.750;50010000.000;54385882.000;
2018-07-24;;;;;;;5.104;-0.141;108.750;;;;
2018-07-25;;;;;;;5.104;-0.141;108.750;;;;
2018-07-26;;;;;;;5.104;-0.141;108.750;;;;
2018-07-27;;;;;;;5.104;-0.141;108.750;;;;
2018-07-30;;;;;;;5.104;-0.141;108.750;;;;
2018-07-31;;;;;;;5.104;-0.141;108.750;;;;
2018-08-01;;;;;;;5.104;-0.141;108.750;;;;
2018-08-02;;;;;;;5.104;-0.141;108.750;;;;
2018-08-03;;;;;;;5.104;-0.141;108.750;;;;
2018-08-06;;;;;;;5.104;-0.141;108.750;;;;
2018-08-07;;;;;;;5.104;-0.141;108.750;;;;
2018-08-08;;;;;;;5.104;-0.141;108.750;;;;
2018-08-09;;;;;;;5.104;-0.141;108.750;;;;
2018-08-10;108.897;108.897;108.897;;;;5.050;-0.183;108.897;108.897;950000.000;1034521.500;
2018-08-13;108.972;108.972;108.972;;;;5.047;-0.198;108.972;108.972;100000000.000;108972000.000;
2018-08-14;108.920;108.920;108.920;;;;5.044;-0.189;108.920;108.920;1990000.000;2167508.000;
2018-08-15;;;;;;;5.044;-0.189;108.920;;;;
2018-08-16;;;;;;;5.044;-0.189;108.920;;;;
2018-08-17;109.000;109.000;109.000;;50000;54500;5.031;-0.208;109.000;109.000;50000.000;54500.000;
2018-08-20;;;;;;;5.031;-0.208;109.000;;;;
2018-08-21;;;;;;;5.031;-0.208;109.000;;;;
2018-08-22;;;;;;;5.031;-0.208;109.000;;;;
2018-08-23;;;;;;;5.031;-0.208;109.000;;;;
2018-08-24;;;;;;;5.031;-0.208;109.000;;;;
2018-08-27;108.650;108.650;108.650;;;;5.008;-0.151;108.650;108.650;115000000.000;124947500.000;
2018-08-28;;;;;;;5.008;-0.151;108.650;;;;
2018-08-29;;;;;;;5.008;-0.151;108.650;;;;
2018-08-30;;;;;;;5.008;-0.151;108.650;;;;
2018-08-31;;;;;;;5.008;-0.151;108.650;;;;
2018-09-03;108.770;108.770;108.770;;;;4.989;-0.179;108.770;108.770;100000000.000;108770000.000;
2018-09-04;;;;;;;4.989;-0.179;108.770;;;;
2018-09-05;;;;;;;4.989;-0.179;108.770;;;;
2018-09-06;;;;;;;4.989;-0.179;108.770;;;;
2018-09-07;;;;;;;4.989;-0.179;108.770;;;;
2018-09-10;108.530;108.440;108.530;;;;4.970;-0.125;108.440;108.440;15040000.000;16309412.000;
2018-09-11;;;;;;;4.970;-0.125;108.440;;;;
2018-09-12;;;;;;;4.970;-0.125;108.440;;;;
2018-09-13;;;;;;;4.970;-0.125;108.440;;;;
2018-09-14;;;;;;;4.970;-0.125;108.440;;;;
2018-09-17;108.440;108.320;108.320;;;;4.951;-0.111;108.336;108.336;11623966.170;12592992.480;
2018-09-18;108.230;108.230;108.230;;;;4.948;-0.092;108.230;108.230;21338.000;23094.120;
2018-09-19;;;;;;;4.948;-0.092;108.230;;;;
2018-09-20;108.200;108.200;108.200;;;;4.937;-0.090;108.200;108.200;50000.000;54100.000;
2018-09-21;;;;;;;4.937;-0.090;108.200;;;;
2018-09-24;108.150;108.150;108.150;;;;;;;108.150;40000000.000;43260000.000;
2018-09-25;;;;;;;4.931;-0.083;108.150;;;;
2018-09-26;107.890;107.890;107.890;;;;4.925;-0.036;107.890;107.890;40000.000;43156.000;
2018-09-27;107.940;107.871;107.871;;;;4.917;-0.047;107.939;107.939;20250000.000;21857677.500;
2018-09-28;108.070;108.070;108.070;;;;4.915;-0.072;108.070;108.070;20000.000;21614.000;
2018-10-01;;;;;;;4.915;-0.072;108.070;;;;
2018-10-02;108.260;108.260;108.260;;;;4.909;-0.109;108.260;108.260;15000000.000;16239000.000;
2018-10-03;108.251;108.251;108.251;;;;4.907;-0.109;108.251;108.251;220000.000;238152.200;
2018-10-04;107.850;107.800;107.800;;;;4.898;-0.034;107.836;107.836;70050000.000;75539415.000;
2018-10-05;107.780;107.732;107.760;;;;4.895;-0.015;107.733;107.733;520025000.000;560238945.000;
2018-10-08;107.750;107.750;107.750;;;;4.892;-0.019;107.750;107.750;100000.000;107750.000;
2018-10-09;;;;;;;4.892;-0.019;107.750;;;;
2018-10-10;;;;;;;4.892;-0.019;107.750;;;;
2018-10-11;107.887;107.887;107.887;;;;4.879;-0.049;107.887;107.887;10000.000;10788.700;
2018-10-12;107.880;107.815;107.880;;;;4.876;-0.036;107.816;107.816;101800000.000;109756840.000;
2018-10-15;108.030;108.030;108.030;;;;4.874;-0.077;108.030;108.030;50000000.000;54015000.000;
2018-10-16;107.950;107.950;107.950;;;;4.871;-0.063;107.950;107.950;35000000.000;37782500.000;
2018-10-17;;;;;;;4.871;-0.063;107.950;;;;
2018-10-18;;;;;;;4.871;-0.063;107.950;;;;
2018-10-19;;;;;;;4.871;-0.063;107.950;;;;
2018-10-22;;;;;;;4.871;-0.063;107.950;;;;
2018-10-23;;;;;;;4.871;-0.063;107.950;;;;
2018-10-24;108.430;108.430;108.430;;;;4.850;-0.160;108.430;108.430;20000000.000;21686000.000;
2018-10-25;108.440;108.345;108.345;;;;4.841;-0.146;108.345;108.345;25040000.000;27129626.000;
2018-10-26;108.490;108.490;108.490;;;;4.839;-0.174;108.490;108.490;200000000.000;216980000.000;
2018-10-29;108.400;108.400;108.400;;;;4.836;-0.158;108.400;108.400;36368.000;39422.910;
2018-10-30;;;;;;;4.836;-0.158;108.400;;;;
2018-10-31;108.300;108.300;108.300;;;;4.830;-0.141;108.300;108.300;20000000.000;21660000.000;
2018-11-01;108.250;108.250;108.250;;;;4.822;-0.134;108.250;108.250;19000000.000;20567500.000;
2018-11-02;;;;;;;4.822;-0.134;108.250;;;;
2018-11-05;;;;;;;4.822;-0.134;108.250;;;;
2018-11-06;108.240;108.240;108.240;;;;4.814;-0.135;108.240;108.240;20000000.000;21648000.000;
2018-11-07;108.170;108.070;108.070;;;;4.811;-0.107;108.087;108.087;18000000.000;19455600.000;
2018-11-08;;;;;;;4.811;-0.107;108.087;;;;
2018-11-09;;;;;;;4.811;-0.107;108.087;;;;
2018-11-12;108.210;108.210;108.210;;;;4.797;-0.134;108.210;108.210;37865.490;40974.250;
2018-11-13;108.300;108.300;108.300;;;;4.861;-0.152;108.300;108.300;20000000.000;21660000.000;
2018-11-14;108.350;108.350;108.350;;;;4.858;-0.163;108.350;108.350;15000000.000;16252500.000;
2018-11-15;;;;;;;4.858;-0.163;108.350;;;;
2018-11-16;108.485;108.485;108.485;;;;4.848;-0.192;108.485;108.485;15000000.000;16272750.000;
2018-11-19;;;;;;;4.848;-0.192;108.485;;;;
2018-11-20;;;;;;;4.848;-0.192;108.485;;;;
2018-11-21;;;;;;;4.848;-0.192;108.485;;;;
2018-11-22;;;;;;;4.848;-0.192;108.485;;;;
2018-11-23;;;;;;;4.848;-0.192;108.485;;;;
2018-11-26;;;;;;;4.848;-0.192;108.485;;;;
2018-11-27;;;;;;;4.848;-0.192;108.485;;;;
2018-11-28;108.420;108.420;108.420;;;;4.820;-0.188;108.420;108.420;25600000.000;27755520.000;
2018-11-29;;;;;;;4.820;-0.188;108.420;;;;
2018-11-30;;;;;;;4.820;-0.188;108.420;;;;
2018-12-03;108.585;108.540;108.585;;;;4.807;-0.219;108.559;108.559;70000000.000;75991500.000;
2018-12-04;;;;;;;4.807;-0.219;108.559;;;;
2018-12-05;108.810;108.810;108.810;;;;4.801;-0.269;108.810;108.810;5000000.000;5440500.000;
2018-12-06;108.810;108.810;108.810;;;;4.793;-0.272;108.810;108.810;100000.000;108810.000;
2018-12-07;;;;;;;4.793;-0.272;108.810;;;;
2018-12-10;108.599;108.599;108.599;;;;4.787;-0.234;108.599;108.599;1000000.000;1085990.000;
2018-12-11;;;;;;;4.787;-0.234;108.599;;;;
2018-12-12;;;;;;;4.787;-0.234;108.599;;;;
2018-12-13;108.610;108.610;108.610;;;;4.774;-0.240;108.610;108.610;4400000.000;4778840.000;
2018-12-14;108.710;108.630;108.710;;;;4.771;-0.260;108.710;108.710;60234400.930;65480629.730;
2018-12-17;;;;;;;4.771;-0.260;108.710;;;;
2018-12-18;108.705;108.705;108.705;;300000;;4.766;-0.261;108.705;108.705;300000.000;326115.000;
2018-12-19;108.600;108.600;108.600;;75000000;;4.763;-0.242;108.600;108.600;75000000.000;81450000.000;
2018-12-20;;;;;;;4.763;-0.242;108.600;;;;
2018-12-21;108.473;108.473;108.473;;200000;;4.744;-0.224;108.473;108.473;200000.000;216946.000;
2018-12-27;;;;;;;4.744;-0.224;108.473;;;;
2018-12-28;108.550;108.550;108.550;;10000000;;4.727;-0.245;108.550;108.550;10000000.000;10855000.000;
2019-01-02;108.889;108.857;108.889;;1600000;;4.725;-0.310;108.881;108.881;1600000.000;1742096.000;
2019-01-03;108.760;108.760;108.760;;58000000;;4.716;-0.289;108.760;108.760;58000000.000;63080800.000;
2019-01-04;108.720;108.720;108.720;;25000000;;4.714;-0.282;108.720;108.720;25000000.000;27180000.000;
2019-01-07;;;;;;;4.714;-0.282;108.720;;;;
2019-01-08;;;;;;;4.714;-0.282;108.720;;;;
